Time;01-Farge;04-Turbiditet;06-E.coli;07-Intestinale enterokokker;08-Kimtall 22°C;09-Koliforme bakterier 37°C;21-Arsen;24-Bly;32-Kadmium;36-Kopper filtrert;37-Krom;41-Nikkel;Sink (Zn)
2024-12-05T12:00:00;#N/A;#N/A;1;1;53;13;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-07T12:00:00;#N/A;#N/A;3;0;53;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-08T12:00:00;#N/A;#N/A;2;0;77;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-09T12:00:00;#N/A;#N/A;1;0;39;25;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-10T12:00:00;#N/A;#N/A;0;0;28;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-12T12:00:00;#N/A;#N/A;3;0;46;15;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-16T12:00:00;11;0.05;0;0;60;25;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2024-12-23T12:00:00;#N/A;#N/A;1;#N/A;#N/A;14;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-01-02T12:00:00;#N/A;#N/A;0;#N/A;220;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-01-06T12:00:00;#N/A;#N/A;0;#N/A;61;15;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-01-13T12:00:00;13;0.24;2;2;95;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-01-20T12:00:00;#N/A;#N/A;0;#N/A;66;10;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-01-27T12:00:00;#N/A;#N/A;0;#N/A;65;10;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-02-03T12:00:00;#N/A;#N/A;2;#N/A;120;7;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2025-02-10T12:00:00;12;0.05;0;0;37;9;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
